feature_id,area,feature,user_story,expected_behavior,code_evidence,test_evidence,verification_status,latest_test_result,errors,fix_status,retest_status,notes
F-001,Distribution,Marketplace install and skill discovery,"As a new user I can add the marketplace, install petry, and invoke all three skills in a fresh session.","The documented marketplace commands install version 0.7.0 and a fresh Claude/Cowork session discovers manage-assets, capture, and get-asset-data.","README.md; .claude-plugin/marketplace.json; .claude-plugin/plugin.json","claude plugin validate; claude plugin details; installed-only lifecycle eval; native Cowork session",passed_manual,"Marketplace install reported 0.7.0 enabled; all three skills discovered; native get-asset-data and capture invocations passed","none","complete","passed","Installed and tested from the GitHub marketplace without a development plugin override."
F-002,Local memory,Asset lifecycle,"As an operations user I can create, edit, rename, link, archive, restore, and list local assets.","Stable project-local identities and relationships survive names and sessions without requiring a database.","skills/manage-assets/SKILL.md; skills/get-asset-data/SKILL.md; skills/capture/SKILL.md","test/local-source-contract.test.mjs; docs/tasks/local-source-registry.md",passed_automated,"Identity and management contract tests pass","none","complete","passed","Native candidate acceptance is recorded."
F-003,Local memory,Remembered and multiple data sources,"As an operations user I can bind different systems to different asset datasets and reuse those choices later.","Exact dataset/metric/grain preferences resolve deterministically; failures do not silently switch or combine sources.","skills/manage-assets/SKILL.md; skills/get-asset-data/SKILL.md","test/local-source-contract.test.mjs; docs/tasks/local-source-registry.md",passed_automated,"Multi-source routing tests pass","none","complete","passed","Production and real-time sources remain independent."
F-004,Artifacts,Asset retrieval and visualization,"As an operations user I can ask for an asset profile, chart, table, comparison, or grouped overview.","Claude reads connected data, computes supported figures, and creates a component-first artifact without invented measurements.","skills/get-asset-data/SKILL.md","test/release.test.mjs; docs/tasks/local-acceptance.md",passed_manual,"Contract tests and native Cowork acceptance pass","none","complete","passed","Native rendering remains a manual acceptance surface."
F-005,Capture,Explicit type and exact fact fidelity,"As a user I can log an exact typed observation and trust the stored record.","An explicitly requested type is preserved and exact fact text is byte-faithful after serialization.","skills/capture/SKILL.md","test/release.test.mjs; pnpm eval:agent 3/3 final runs",passed_automated,"Three fresh live lifecycle runs passed after hardening","Earlier runs recategorized an event and altered exact fact text","complete","passed","Non-negotiable input fidelity now appears at the top of the capture skill."
F-006,Capture,Duplicate and correction lifecycle,"As a user I can repeat a capture without duplication and correct an exact observation without losing history.","Duplicates are byte-identical no-ops; corrections expire and link the predecessor while preserving unrelated data.","skills/capture/SKILL.md","test/insight-contract.test.mjs; pnpm eval:agent 3/3 final runs",passed_automated,"Duplicate and correction cases passed 3/3","none","complete","passed","Telemetry stayed unchanged."
F-007,Artifacts,Applicable same-artifact refresh,"As a user I see a captured insight update the affected chart, timeline, details, and summary only.","Relevant changes refresh the same artifact; unrelated or duplicate changes do not; corrections remove stale projections.","skills/capture/SKILL.md; skills/get-asset-data/SKILL.md","test/agent-eval-oracle.test.mjs; pnpm eval:agent 3/3 final runs; docs/tasks/local-acceptance.md",passed_automated,"Same identity and revision behavior passed 3/3","Oracle initially rejected a valid dotted petry.type projection","complete","passed","Oracle now accepts nested, dotted, and generic valid projection shapes."
F-008,Templates,Persistent artifact templates,"As a user I can save a presentation template by asset/view type and reuse it in a fresh session.","Declarative templates retain layout choices without data, credentials, source IDs, or executable instructions.","skills/manage-assets/SKILL.md; skills/get-asset-data/SKILL.md; skills/capture/SKILL.md","test/artifact-template-contract.test.mjs; docs/tasks/artifact-templates.md; native installed-only Cowork smoke",passed_manual,"Merged implementation and installed Cowork template reuse passed","none","complete","passed","The saved Standard well profile template resolved in a fresh installed-plugin session."
F-009,Artifacts,Plain-language presentation,"As a nontechnical operations user I see familiar labels and calendar dates rather than storage fields.","Visible and accessible UI omits UUIDs, schema fields, paths, connector IDs, hashes, raw JSON, and exact timestamps unless requested.","skills/get-asset-data/SKILL.md; skills/capture/SKILL.md","test/release.test.mjs; docs/tasks/plain-language-artifacts.md",passed_manual,"Same private artifact republished and event dialog visually verified","Old artifact exposed world time, precision, knowledge timestamp, UUID, and paths","complete","passed","Two same-day events remain distinct."
F-010,Package,Manifest and dependency safety,"As an installer I receive a valid instruction-only plugin without vulnerable runtime dependencies.","Manifest validates, only three skill directories ship, and dependency audit is clean.",".claude-plugin; package.json; .github/workflows/ci.yml","claude plugin validate; pnpm audit --prod; pnpm run check",passed_automated,"32 combined-candidate tests pass; no vulnerabilities","Original dirty checkout contains an untracked build directory","complete","passed","Build/release from a clean checkout; preserve the user's local build files."
F-011,Quality,Headless agent lifecycle evaluation,"As a maintainer I can catch model-mediated capture and refresh regressions before release.","A disposable stateful harness independently validates four lifecycle cases and retains failed evidence.","eval/agent; package.json","test/agent-eval-oracle.test.mjs; pnpm eval:agent 3/3 final runs; installed-only eval",passed_automated,"Working-tree reliability sample passed 3/3 and installed marketplace build passed all four lifecycle cases","none","complete","passed","The runner now supports explicit installed-plugin release verification."
F-012,Release,Versioned release publication,"As an installer I can identify and install the intended immutable release.","The final main commit is tagged and a GitHub release identifies version, changes, validation, and install instructions.",".claude-plugin/plugin.json; package.json","petry--v0.7.0; GitHub release; clean commit 9632d545",passed_manual,"Immutable tag and GitHub release published from the exact verified commit","none","complete","passed","Release: https://github.com/aai-agency/petry-plugin/releases/tag/petry--v0.7.0"
F-013,Team service,Optional paid MCP boundary,"As a team I can opt into a shared service without breaking local use.","The free plugin stays local-first; shared database, permissions, billing, and transfer remain a separate service contract.","README.md; UPGRADE.md; all three skills","test/insight-contract.test.mjs; test/local-source-contract.test.mjs",passed_automated,"Local/shared boundary contract tests pass","Paid service is intentionally outside this repository","not_applicable","passed","Do not market the shared backend as implemented by this plugin release."
F-014,Local memory,Custom entities and parent insight scope,I can create default or custom entity types and read consolidated or individual insights.,Explicit contains/parent_of traversal deduplicates shared descendants and multi-subject notes; fresh direct views find notes across all vault files.,skills/manage-assets/SKILL.md; skills/capture/SKILL.md; skills/get-asset-data/SKILL.md,test/entity-evidence.test.mjs; pnpm eval:entities; docs/tasks/entities-and-attachments-eval.json,passed_automated,Sonnet/high clean run passed 12 turns; 37 deterministic tests pass on Linux/Windows,Earlier model/oracle failures documented in task log,complete,passed,Unreleased PR #20. Headless adapter evidence; native Cowork previews and external connectors not tested.
F-015,Capture,Local attachment lifecycle,"I can attach images, PDFs, slides, or other files to insights and replace, edit, or remove them.",Uploads preserve original bytes; edits create linked history; removal unlinks without deleting evidence; affected parent and child views refresh.,skills/manage-assets/SKILL.md; skills/capture/SKILL.md; skills/get-asset-data/SKILL.md,test/entity-evidence.test.mjs; pnpm eval:entities; docs/tasks/entities-and-attachments-eval.json,passed_automated,Sonnet/high clean run passed 12 turns; 37 deterministic tests pass on Linux/Windows,Earlier model/oracle failures documented in task log,complete,passed,Unreleased PR #20. Headless adapter evidence; native Cowork previews and external connectors not tested.
